session_id	original_session_id
ses-Cl+OF+010218	ses-Cl_OF_010218
ses-Cl+OF+010318	ses-Cl_OF_010318
ses-Cl+OF+010418	ses-Cl_OF_010418
ses-Cl+OF+010619	ses-Cl_OF_010619
ses-Cl+OF+010719	ses-Cl_OF_010719
ses-Cl+OF+010919	ses-Cl_OF_010919
ses-Cl+OF+011019	ses-Cl_OF_011019
ses-Cl+OF+011419	ses-Cl_OF_011419
ses-Cl+OF+011519	ses-Cl_OF_011519
ses-Cl+OF+011619	ses-Cl_OF_011619
ses-Cl+OF+011719	ses-Cl_OF_011719
ses-Cl+OF+011819	ses-Cl_OF_011819
ses-Cl+OF+012219	ses-Cl_OF_012219
ses-Cl+OF+012319	ses-Cl_OF_012319
ses-Cl+OF+012419	ses-Cl_OF_012419
ses-Cl+OF+012519	ses-Cl_OF_012519
ses-Cl+OF+012819	ses-Cl_OF_012819
ses-Cl+OF+013019	ses-Cl_OF_013019
ses-Cl+OF+013119	ses-Cl_OF_013119
ses-Cl+OF+020419	ses-Cl_OF_020419
ses-Cl+OF+020519	ses-Cl_OF_020519
ses-Cl+OF+020619	ses-Cl_OF_020619
ses-Cl+OF+020719	ses-Cl_OF_020719
ses-Cl+OF+020819	ses-Cl_OF_020819
ses-Cl+OF+021319	ses-Cl_OF_021319
ses-Cl+OF+021419	ses-Cl_OF_021419
ses-Cl+OF+021519	ses-Cl_OF_021519
ses-Cl+OF+112118	ses-Cl_OF_112118
ses-Cl+OF+112318	ses-Cl_OF_112318
ses-Cl+OF+112918	ses-Cl_OF_112918
ses-Cl+OF+113018	ses-Cl_OF_113018
ses-Cl+OF+120118	ses-Cl_OF_120118
ses-Cl+OF+120318	ses-Cl_OF_120318
ses-Cl+OF+120418	ses-Cl_OF_120418
ses-Cl+OF+120518	ses-Cl_OF_120518
ses-Cl+OF+120618	ses-Cl_OF_120618
ses-Cl+OF+120718	ses-Cl_OF_120718
ses-Cl+OF+120918	ses-Cl_OF_120918
ses-Cl+OF+121018	ses-Cl_OF_121018
ses-Cl+OF+121118	ses-Cl_OF_121118
ses-Cl+OF+121318	ses-Cl_OF_121318
ses-Cl+OF+121418	ses-Cl_OF_121418
ses-Cl+OF+121718	ses-Cl_OF_121718
ses-Cl+OF+121818	ses-Cl_OF_121818
ses-Cl+OF+121918	ses-Cl_OF_121918
ses-Cl+OF+122018	ses-Cl_OF_122018
ses-Cl+OF+122118	ses-Cl_OF_122118
ses-Cl+OF+122218	ses-Cl_OF_122218
ses-Cl+OF+122818	ses-Cl_OF_122818
ses-Cl+OF+123118	ses-Cl_OF_123118
ses-Cl+T3g+010218	ses-Cl_T3g_010218
ses-Cl+T3g+010318	ses-Cl_T3g_010318
ses-Cl+T3g+010619	ses-Cl_T3g_010619
ses-Cl+T3g+010819	ses-Cl_T3g_010819
ses-Cl+T3g+010919	ses-Cl_T3g_010919
ses-Cl+T3g+011019	ses-Cl_T3g_011019
ses-Cl+T3g+011419	ses-Cl_T3g_011419
ses-Cl+T3g+011519	ses-Cl_T3g_011519
ses-Cl+T3g+011619	ses-Cl_T3g_011619
ses-Cl+T3g+012419	ses-Cl_T3g_012419
ses-Cl+T3g+012519	ses-Cl_T3g_012519
ses-Cl+T3g+012819	ses-Cl_T3g_012819
ses-Cl+T3g+012919	ses-Cl_T3g_012919
ses-Cl+T3g+013019	ses-Cl_T3g_013019
ses-Cl+T3g+020419	ses-Cl_T3g_020419
ses-Cl+T3g+020519	ses-Cl_T3g_020519
ses-Cl+T3g+020619	ses-Cl_T3g_020619
ses-Cl+T3g+020719	ses-Cl_T3g_020719
ses-Cl+T3g+021419	ses-Cl_T3g_021419
ses-Cl+T3g+021519	ses-Cl_T3g_021519
ses-Cl+T3g+021719	ses-Cl_T3g_021719
ses-Cl+T3g+112318	ses-Cl_T3g_112318
ses-Cl+T3g+112818	ses-Cl_T3g_112818
ses-Cl+T3g+112918	ses-Cl_T3g_112918
ses-Cl+T3g+113018	ses-Cl_T3g_113018
ses-Cl+T3g+120118	ses-Cl_T3g_120118
ses-Cl+T3g+120318	ses-Cl_T3g_120318
ses-Cl+T3g+120418	ses-Cl_T3g_120418
ses-Cl+T3g+120518	ses-Cl_T3g_120518
ses-Cl+T3g+120618	ses-Cl_T3g_120618
ses-Cl+T3g+120718	ses-Cl_T3g_120718
ses-Cl+T3g+120918	ses-Cl_T3g_120918
ses-Cl+T3g+121118	ses-Cl_T3g_121118
ses-Cl+T3g+121218	ses-Cl_T3g_121218
ses-Cl+T3g+121318	ses-Cl_T3g_121318
ses-Cl+T3g+121418	ses-Cl_T3g_121418
ses-Cl+T3g+121418+0	ses-Cl_T3g_121418_0
ses-Cl+T3g+121718	ses-Cl_T3g_121718
ses-Cl+T3g+121818	ses-Cl_T3g_121818
ses-Cl+T3g+122118	ses-Cl_T3g_122118
ses-Cl+T3g+122218	ses-Cl_T3g_122218
ses-Cl+T3g+122818	ses-Cl_T3g_122818
ses-Cl+T3g+123118	ses-Cl_T3g_123118
ses-Cl+T3i+021319	ses-Cl_T3i_021319
ses-Cl+T3i+021419	ses-Cl_T3i_021419
ses-Cl+T3i+021519	ses-Cl_T3i_021519
